date	Internal
2014-01-08-13-41-30	0
2014-01-08-13-41-31	0
2014-01-08-13-41-32	0
2014-01-08-13-41-33	0
2014-01-08-13-41-35	0
2014-01-08-13-41-36	0
2014-01-08-13-41-37	0
2014-01-08-13-41-38	0
2014-01-08-13-41-39	0
2014-01-08-13-41-40	0
2014-01-08-13-41-41	0
2014-01-08-13-41-42	0
2014-01-08-13-41-43	0
2014-01-08-13-41-45	0
2014-01-08-13-41-46	0
2014-01-08-13-41-47	0
2014-01-08-13-41-48	0
2014-01-08-13-41-49	0
2014-01-08-13-41-50	0
2014-01-08-13-41-51	0
2014-01-08-13-41-52	0
2014-01-08-13-41-54	0
2014-01-08-13-41-55	0
2014-01-08-13-41-56	0
2014-01-08-13-41-57	0
2014-01-08-13-41-58	0
2014-01-08-13-41-59	0
2014-01-08-13-42-00	0
2014-01-08-13-42-01	0
2014-01-08-13-42-02	0
2014-01-08-13-42-04	0
2014-01-08-13-42-05	0
2014-01-08-13-42-06	0
2014-01-08-13-42-07	0
2014-01-08-13-42-08	0
2014-01-08-13-42-09	0
2014-01-08-13-42-10	0
2014-01-08-13-42-11	0
2014-01-08-13-42-12	0
2014-01-08-13-42-14	0
2014-01-08-13-42-15	0
2014-01-08-13-42-16	0
2014-01-08-13-42-17	0
2014-01-08-13-42-18	0
2014-01-08-13-42-19	0
2014-01-08-13-42-20	0
2014-01-08-13-42-21	0
2014-01-08-13-42-22	0
2014-01-08-13-42-24	0
2014-01-08-13-42-25	0
2014-01-08-13-42-26	0
2014-01-08-13-42-27	0
2014-01-08-13-42-28	0
2014-01-08-13-42-29	0
2014-01-08-13-42-30	0
2014-01-08-13-42-31	0
2014-01-08-13-42-32	0
2014-01-08-13-42-34	0
2014-01-08-13-42-35	0
2014-01-08-13-42-36	0
2014-01-08-13-42-37	0
2014-01-08-13-42-38	0
2014-01-08-13-42-39	0
2014-01-08-13-42-40	0
2014-01-08-13-42-41	0
2014-01-08-13-42-43	0
2014-01-08-13-42-44	0
2014-01-08-13-42-45	0
2014-01-08-13-42-46	0
2014-01-08-13-42-47	0
2014-01-08-13-42-48	0
2014-01-08-13-42-49	0
2014-01-08-13-42-50	0
2014-01-08-13-42-52	0
2014-01-08-13-42-53	0
2014-01-08-13-42-54	0
2014-01-08-13-42-55	0
2014-01-08-13-42-56	0
2014-01-08-13-42-57	0
2014-01-08-13-42-58	0
2014-01-08-13-42-59	0
2014-01-08-13-43-01	0
2014-01-08-13-43-02	0
