date	frequency	type
2014-01-08-15-22-36	0	Major Frequency
2014-01-08-15-22-38	0	Major Frequency
2014-01-08-15-22-40	0	Major Frequency
2014-01-08-15-22-42	0	Major Frequency
2014-01-08-15-22-44	0	Major Frequency
2014-01-08-15-22-47	129.19921875	Major Frequency
2014-01-08-15-22-49	0	Major Frequency
2014-01-08-15-22-51	0	Major Frequency
2014-01-08-15-22-53	0	Major Frequency
2014-01-08-15-22-55	0	Major Frequency
2014-01-08-15-22-57	0	Major Frequency
2014-01-08-15-22-59	0	Major Frequency
2014-01-08-15-23-01	0	Major Frequency
2014-01-08-15-23-03	0	Major Frequency
2014-01-08-15-23-06	0	Major Frequency
2014-01-08-15-23-08	0	Major Frequency
2014-01-08-15-23-10	0	Major Frequency
2014-01-08-15-23-12	0	Major Frequency
2014-01-08-15-23-14	0	Major Frequency
2014-01-08-15-23-16	0	Major Frequency
2014-01-08-15-23-18	0	Major Frequency
2014-01-08-15-23-20	43.06640625	Major Frequency
2014-01-08-15-23-22	0	Major Frequency
2014-01-08-15-23-24	0	Major Frequency
2014-01-08-15-23-27	0	Major Frequency
2014-01-08-15-23-29	0	Major Frequency
2014-01-08-15-23-31	0	Major Frequency
2014-01-08-15-23-33	0	Major Frequency
2014-01-08-15-23-35	43.06640625	Major Frequency
2014-01-08-15-23-37	0	Major Frequency
2014-01-08-15-23-39	0	Major Frequency
2014-01-08-15-23-41	0	Major Frequency
2014-01-08-15-23-43	86.1328125	Major Frequency
2014-01-08-15-23-46	86.1328125	Major Frequency
2014-01-08-15-23-48	43.06640625	Major Frequency
2014-01-08-15-23-50	0	Major Frequency
2014-01-08-15-23-52	43.06640625	Major Frequency
2014-01-08-15-23-54	0	Major Frequency
2014-01-08-15-23-56	0	Major Frequency
2014-01-08-15-23-58	0	Major Frequency
2014-01-08-15-24-00	0	Major Frequency
2014-01-08-15-24-02	0	Major Frequency
2014-01-08-15-24-04	344.53125	Major Frequency
2014-01-08-15-24-07	0	Major Frequency
2014-01-08-15-24-09	86.1328125	Major Frequency
2014-01-08-15-24-11	0	Major Frequency
2014-01-08-15-24-13	258.3984375	Major Frequency
2014-01-08-15-24-15	0	Major Frequency
2014-01-08-15-24-17	0	Major Frequency
2014-01-08-15-24-19	0	Major Frequency
2014-01-08-15-24-21	0	Major Frequency
2014-01-08-15-24-23	0	Major Frequency
2014-01-08-15-24-26	43.06640625	Major Frequency
2014-01-08-15-24-28	0	Major Frequency
2014-01-08-15-24-30	0	Major Frequency
2014-01-08-15-24-32	43.06640625	Major Frequency
2014-01-08-15-24-34	0	Major Frequency
2014-01-08-15-24-36	0	Major Frequency
2014-01-08-15-24-38	0	Major Frequency
2014-01-08-15-24-40	0	Major Frequency
2014-01-08-15-24-42	0	Major Frequency
2014-01-08-15-24-44	516.796875	Major Frequency
2014-01-08-15-24-47	0	Major Frequency
2014-01-08-15-24-49	0	Major Frequency
2014-01-08-15-24-51	0	Major Frequency
2014-01-08-15-24-53	0	Major Frequency
2014-01-08-15-24-55	0	Major Frequency
2014-01-08-15-24-57	0	Major Frequency
2014-01-08-15-24-59	0	Major Frequency
2014-01-08-15-25-01	0	Major Frequency
2014-01-08-15-25-03	0	Major Frequency
2014-01-08-15-25-06	0	Major Frequency
2014-01-08-15-25-08	0	Major Frequency
2014-01-08-15-25-10	86.1328125	Major Frequency
2014-01-08-15-25-12	0	Major Frequency
2014-01-08-15-25-14	0	Major Frequency
2014-01-08-15-25-16	86.1328125	Major Frequency
2014-01-08-15-25-18	0	Major Frequency
2014-01-08-15-25-20	0	Major Frequency
2014-01-08-15-25-22	0	Major Frequency
2014-01-08-15-25-24	344.53125	Major Frequency
2014-01-08-15-25-27	0	Major Frequency
2014-01-08-15-25-29	0	Major Frequency
2014-01-08-15-25-31	0	Major Frequency
2014-01-08-15-25-33	0	Major Frequency
2014-01-08-15-25-35	0	Major Frequency
2014-01-08-15-25-37	43.06640625	Major Frequency
2014-01-08-15-25-39	129.19921875	Major Frequency
2014-01-08-15-25-41	0	Major Frequency
2014-01-08-15-25-43	301.46484375	Major Frequency
2014-01-08-15-25-46	0	Major Frequency
2014-01-08-15-25-48	43.06640625	Major Frequency
2014-01-08-15-25-50	43.06640625	Major Frequency
2014-01-08-15-25-52	215.33203125	Major Frequency
2014-01-08-15-25-54	0	Major Frequency
2014-01-08-15-25-56	86.1328125	Major Frequency
2014-01-08-15-25-58	0	Major Frequency
2014-01-08-15-26-00	0	Major Frequency
2014-01-08-15-26-02	43.06640625	Major Frequency
2014-01-08-15-26-04	43.06640625	Major Frequency
2014-01-08-15-26-07	129.19921875	Major Frequency
2014-01-08-15-26-09	86.1328125	Major Frequency
2014-01-08-15-26-11	0	Major Frequency
2014-01-08-15-26-13	43.06640625	Major Frequency
2014-01-08-15-26-15	0	Major Frequency
2014-01-08-15-26-17	0	Major Frequency
2014-01-08-15-26-19	0	Major Frequency
2014-01-08-15-26-21	0	Major Frequency
2014-01-08-15-26-23	0	Major Frequency
2014-01-08-15-26-26	0	Major Frequency
2014-01-08-15-26-28	0	Major Frequency
2014-01-08-15-26-30	0	Major Frequency
2014-01-08-15-26-32	43.06640625	Major Frequency
2014-01-08-15-26-34	0	Major Frequency
2014-01-08-15-26-36	0	Major Frequency
2014-01-08-15-26-38	43.06640625	Major Frequency
2014-01-08-15-26-40	86.1328125	Major Frequency
2014-01-08-15-26-42	258.3984375	Major Frequency
2014-01-08-15-26-44	43.06640625	Major Frequency
2014-01-08-15-26-47	0	Major Frequency
2014-01-08-15-26-49	0	Major Frequency
2014-01-08-15-26-51	43.06640625	Major Frequency
2014-01-08-15-26-53	0	Major Frequency
2014-01-08-15-26-55	0	Major Frequency
